game,round,phase,is_starter,is_playing,player,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus
MAD-PAR,35,PLAYOFFS,True,True,Punter Kevin,34:08,26,1,3,5,8,9,9,0,3,3,6,0,2,0,0,1,6,33,7
MAD-PAR,39,PLAYOFFS,True,True,Punter Kevin,36:48,28,1,4,7,13,5,5,0,2,2,3,0,2,0,1,2,7,26,-9
PAR-MAD,32,REGULAR SEASON,False,True,Punter Kevin,29:13,16,5,12,1,2,3,3,0,2,2,6,3,0,0,1,3,3,18,24
ULK-PAR,15,REGULAR SEASON,False,True,Punter Kevin,23:09,12,3,4,0,3,6,8,1,4,5,2,1,1,1,0,1,4,17,-5
PAR-OLY,30,REGULAR SEASON,True,True,Punter Kevin,31:45,17,0,3,4,7,5,5,0,1,1,3,0,1,0,1,2,4,15,6
BAR-PAR,9,REGULAR SEASON,False,True,Punter Kevin,12:53,2,0,5,0,0,2,2,1,0,1,0,1,0,0,0,1,2,0,-6
ZAL-PAR,23,REGULAR SEASON,True,True,Punter Kevin,25:06,14,4,5,2,4,0,0,0,1,1,3,1,1,0,0,3,0,12,3
MAD-PAR,10,REGULAR SEASON,True,True,Punter Kevin,33:04,16,2,4,3,8,3,5,0,5,5,3,1,2,0,2,2,7,17,-8
PAR-BAS,19,REGULAR SEASON,True,True,Punter Kevin,26:20,12,0,3,3,5,3,4,0,1,1,1,1,1,0,0,1,2,9,22
TEL-PAR,18,REGULAR SEASON,False,True,Punter Kevin,28:16,22,4,6,3,5,5,5,0,2,2,3,1,1,0,0,4,5,24,7
PAM-PAR,20,REGULAR SEASON,True,True,Punter Kevin,26:40,14,2,4,3,4,1,1,0,1,1,4,1,5,0,0,2,2,12,-2
MCO-PAR,33,REGULAR SEASON,True,True,Punter Kevin,26:10,8,1,2,2,4,0,0,0,0,0,4,0,2,0,0,1,1,7,-11
RED-PAR,21,REGULAR SEASON,True,True,Punter Kevin,20:37,6,0,1,1,3,3,4,0,1,1,1,1,0,0,0,4,4,5,2
ASV-PAR,13,REGULAR SEASON,False,True,Punter Kevin,23:24,7,1,3,1,3,2,3,0,0,0,1,0,0,0,0,0,3,6,-1
PAR-TEL,8,REGULAR SEASON,False,True,Punter Kevin,32:18,13,4,10,1,5,2,2,0,5,5,3,0,0,1,1,3,2,10,13
PAR-ASV,22,REGULAR SEASON,True,True,Punter Kevin,21:02,22,5,10,3,5,3,3,2,2,4,2,1,0,0,0,2,4,24,22
PAR-PAM,11,REGULAR SEASON,False,True,Punter Kevin,27:40,19,2,4,3,7,6,7,0,0,0,3,1,5,0,1,5,4,9,4
MAD-PAR,36,PLAYOFFS,True,True,Punter Kevin,25:51,14,0,2,4,6,2,2,0,1,1,3,1,2,0,0,5,5,13,17
PAR-PAN,34,REGULAR SEASON,False,True,Punter Kevin,31:25,17,4,10,3,6,0,0,1,0,1,2,0,3,1,2,3,3,7,3
PAR-MUN,16,REGULAR SEASON,False,True,Punter Kevin,22:28,6,1,6,0,2,4,4,0,1,1,2,1,0,0,0,4,3,2,-9
VIR-PAR,27,REGULAR SEASON,True,True,Punter Kevin,30:36,17,6,8,1,3,2,2,0,1,1,1,3,0,0,0,3,3,18,20
